PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;102;1;1;28102001_1_38;2017;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;6;28102001_6_48;2017;1;1;0.3;V;0.3;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V
28;102;1;7;28102001_7_8;2017;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2017;1;1;5;V;5;V;5;V;5;V;4;V;4;V;4;V;4;V;4;V;4;V;5;V;5;V;4;V;4;V;4;V;4;V;3;V;4;V;4;V;3;V;3;V;4;V;4;V;3;V
28;102;1;10;28102001_10_49;2017;1;1;21;V;19;V;17;V;16;V;14;V;27;V;14;V;7;V;2;V;5;V;14;V;14;V;10;V;6;V;6;V;14;V;13;V;16;V;27;V;21;V;15;V;6;V;10;V;12;V
28;102;1;12;28102001_12_8;2017;1;1;7;V;7;V;7;V;7;V;6;V;6;V;6;V;6;V;6;V;6;V;7;V;7;V;6;V;6;V;6;V;6;V;5;V;6;V;6;V;5;V;5;V;6;V;6;V;5;V
28;102;1;14;28102001_14_6;2017;1;1;50;V;54;V;50;V;49;V;49;V;48;V;47;V;42;V;37;V;41;V;44;V;47;V;68;V;74;V;70;V;71;V;71;V;66;V;57;V;59;V;53;V;47;V;49;V;57;V
28;123;2;7;28123002_7_8;2017;1;1;60;V;69;V;28;V;24;V;15;V;22;V;15;V;15;V;13;V;18;V;33;V;22;V;9;V;5;V;2;V;2;V;2;V;53;V;161;V;212;V;53;V;6;V;5;V;4;V
28;123;2;8;28123002_8_8;2017;1;1;51;V;54;V;41;V;39;V;37;V;39;V;38;V;37;V;33;V;30;V;32;V;30;V;21;V;17;V;13;V;15;V;22;V;67;V;99;V;86;V;58;V;36;V;39;V;31;V
28;123;2;10;28123002_10_49;2017;1;1;46;V;40;V;32;V;28;V;22;V;18;V;19;V;7;V;15;V;15;V;10;V;18;V;11;V;19;V;11;V;8;V;5;V;6;V;27;V;41;V;87;V;22;V;12;V;8;V
