PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;102;1;1;28102001_1_38;2007;3;1;2;V;3;V;2;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;3;V;;N;;N;3;V;3;V;2;V;2;V;3;V;3;V;2;V;3;V;3;V
28;102;1;6;28102001_6_48;2007;3;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;;N;;N;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V
28;102;1;7;28102001_7_8;2007;3;1;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;6;V;5;V;5;V;4;V;3;V;;N;;N;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;102;1;8;28102001_8_8;2007;3;1;5;V;11;V;3;V;3;V;4;V;4;V;8;V;7;V;11;V;7;V;8;V;4;V;4;V;;N;;N;2;V;2;V;4;V;10;V;13;V;7;V;10;V;11;V;24;V
28;102;1;10;28102001_10_49;2007;3;1;27;N;27;N;27;N;27;N;27;N;27;N;27;N;27;N;27;N;27;N;27;N;27;N;27;N;27;N;26.5;N;21;V;18;V;22;V;21;V;23;V;19;V;19;V;13;V;15;V
28;102;1;14;28102001_14_6;2007;3;1;47;V;35;V;45;V;44;V;48;V;46;V;38;V;40;V;40;V;51;V;58;V;70;V;76;V;;N;;N;89;V;86;V;80;V;67;V;60;V;64;V;55;V;49;V;36;V
28;123;2;7;28123002_7_8;2007;3;1;5;V;5;V;4;V;4;V;8;V;35;V;63;V;156;V;106;V;58;V;24;V;15;V;16;V;16;V;14;V;15;V;15;V;23;V;33;V;37;V;25;V;14;V;7;V;7;V
28;123;2;8;28123002_8_8;2007;3;1;25;V;25;V;26;V;19;V;28;V;41;V;52;V;81;V;70;V;51;V;31;V;19;V;21;V;22;V;20;V;25;V;24;V;42;V;64;V;63;V;57;V;40;V;28;V;24;V
28;123;2;10;28123002_10_49;2007;3;1;24;V;17;V;22;V;17;V;26;V;19;V;33;V;57;V;101;V;87;V;64;V;40;V;39;V;30;V;34;V;29;V;33;V;48;V;51;V;58;V;54;V;36;V;26;V;16;V
28;123;2;14;28123002_14_6;2007;3;1;22;V;16;V;16;V;23;V;10;V;3;V;3;V;5;V;10;V;22;V;42;V;56;V;63;V;71;V;78;V;69;V;64;V;42;V;18;V;14;V;16;V;28;V;33;V;35;V
28;13;2;7;28013002_7_8;2007;3;1;10;V;3;V;5;V;9;V;8;V;6;V;7;V;18;V;15;V;;N;21;V;9;V;6;V;6;V;5;V;7;V;7;V;10;V;10;V;22;V;10;V;19;V;4;V;3;V
28;13;2;8;28013002_8_8;2007;3;1;28;V;10;V;15;V;17;V;22;V;23;V;25;V;33;V;31;V;;N;42;V;29;V;21;V;22;V;16;V;25;V;25;V;42;V;46;V;57;V;42;V;45;V;20;V;11;V
28;13;2;10;28013002_10_49;2007;3;1;10;V;18;V;11;V;12;V;21;V;17;V;18;V;20;V;27;V;;N;27;V;39;V;43;V;31;V;28;V;47;V;39;V;39;V;40;V;32;V;30;V;26;V;18;V;14;V
28;13;2;14;28013002_14_6;2007;3;1;14;V;28;V;19;V;22;V;18;V;14;V;11;V;9;V;17;V;;N;11;V;26;V;51;V;52;V;59;V;50;V;51;V;30;V;21;V;10;V;20;V;17;V;38;V;46;V
28;133;2;7;28133002_7_8;2007;3;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;12;V;16;V;2;V;1;V;;N;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;133;2;8;28133002_8_8;2007;3;1;2;V;2;V;1;V;2;V;1;V;3;V;6;V;30;V;26;V;7;V;2;V;;N;4;V;3;V;4;V;5;V;5;V;5;V;5;V;6;V;5;V;5;V;2;V;1;V
28;133;2;10;28133002_10_49;2007;3;1;13;V;10;V;9;V;9;V;11;V;13;V;10;V;10;V;33;V;37;V;14;V;11;V;22;V;15;V;20;V;19;V;40;V;33;V;27;V;23;V;22;V;22;V;24;V;14;V
28;133;2;14;28133002_14_6;2007;3;1;45;V;41;V;41;V;55;V;61;V;48;V;51;V;18;V;31;V;65;V;75;V;;N;68;V;70;V;71;V;68;V;67;V;69;V;71;V;71;V;71;V;69;V;69;V;68;V
28;14;2;7;28014002_7_8;2007;3;1;4;V;4;V;6;V;4;V;7;V;4;V;13;V;20;V;18;V;15;V;12;V;12;V;9;V;7;V;8;V;8;V;8;V;7;V;6;V;8;V;9;V;6;V;4;V;4;V
28;14;2;8;28014002_8_8;2007;3;1;8;V;3;V;8;V;4;V;15;V;21;V;41;V;44;V;30;V;18;V;11;V;8;V;5;V;2;V;3;V;3;V;7;V;8;V;20;V;36;V;36;V;36;V;10;V;6;V
28;14;2;10;28014002_10_49;2007;3;1;14;V;15;V;11;V;11;V;12;V;14;V;15;V;21;V;26;V;30;V;25;V;27;V;26;V;22;V;31;V;40;V;42;V;43;V;45;V;36;V;27;V;26;V;18;V;12;V
28;14;2;14;28014002_14_6;2007;3;1;31;V;38;V;37;V;39;V;25;V;25;V;15;V;17;V;29;V;39;V;53;V;62;V;72;V;81;V;83;V;78;V;72;V;71;V;50;V;27;V;27;V;25;V;48;V;52;V
28;148;4;7;28148004_7_8;2007;3;1;4;V;4;V;4;V;5;V;9;V;21;V;63;V;178;V;100;V;69;V;27;V;25;V;20;V;11;V;8;V;14;V;13;V;13;V;20;V;22;V;25;V;29;V;7;V;4;V
28;148;4;8;28148004_8_8;2007;3;1;2;V;2;V;1;V;7;V;20;V;20;V;26;V;51;V;48;V;52;V;27;V;19;V;16;V;7;V;2;V;10;V;15;V;29;V;47;V;44;V;44;V;44;V;25;V;9;V
28;148;4;9;28148004_9_49;2007;3;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;148;4;10;28148004_10_49;2007;3;1;24;V;28;V;21;V;18;V;23;V;31;V;41;V;53;V;84;V;89;V;63;V;43;V;41;V;38;V;36;V;29;V;30;V;47;V;59;V;57;V;46;V;47;V;45;V;30;V
28;148;4;14;28148004_14_6;2007;3;1;24;V;24;V;23;V;16;V;10;V;6;V;6;V;7;V;10;V;16;V;36;V;41;V;52;V;58;V;65;V;58;V;44;V;30;V;12;V;9;V;7;V;6;V;16;V;30;V
28;16;1;1;28016001_1_38;2007;3;1;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;;N;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;16;1;6;28016001_6_48;2007;3;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;;N;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;16;1;7;28016001_7_8;2007;3;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;;N;1;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;16;1;8;28016001_8_8;2007;3;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;;N;5;V;7;V;10;V;8;V;2;V;2;V;2;V;1;V;2;V;1;V;1;V;1;V;1;V
28;16;1;9;28016001_9_49;2007;3;1;2;V;5;V;3;V;2;V;2;V;1;V;1;V;1;V;6;V;6;V;3;V;3;V;3;V;5;V;5;V;3;V;1;V;1;V;14;N;6;V;5;V;7;V;7;V;5;V
28;16;1;10;28016001_10_49;2007;3;1;5;V;8;V;7;V;6;V;5;V;5;V;5;V;8;V;7;V;8;V;9;V;3;V;6;V;9;V;9;V;9;V;7;V;7;V;7;V;11;V;12;V;15;V;11;V;10;V
28;16;1;14;28016001_14_6;2007;3;1;85;V;85;V;85;V;84;V;83;V;82;V;79;V;80;V;78;V;69;V;;N;75;V;80;V;83;V;87;V;98;V;94;V;93;V;91;V;89;V;90;V;90;V;89;V;88;V
28;16;1;20;28016001_20_59;2007;3;1;1.6;V;1.7;V;1.4;V;1.4;V;1.1;V;1.2;V;1.2;V;1.7;V;2;V;2.2;V;;N;4.4;V;2.8;V;2.7;V;2.7;V;2;V;1.9;V;1.6;V;1.5;V;1.6;V;1.5;V;1.5;V;1.5;V;1.6;V
28;16;1;30;28016001_30_59;2007;3;1;0.6;V;0.7;V;0.6;V;0.6;V;0.5;V;0.6;V;0.5;V;0.8;V;0.8;V;0.8;V;0.7;V;0.9;V;1;V;0.9;V;0.9;V;0.6;V;0.5;V;0.6;V;0.5;V;0.5;V;0.5;V;0.6;V;0.8;V;0.7;V
28;16;1;42;28016001_42_2;2007;3;1;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.4;V;5.7;V;5.8;V;5.7;V;5.7;V;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V;5.6;V
28;16;1;44;28016001_44_2;2007;3;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;161;1;7;28161001_7_8;2007;3;1;1;V;1;V;1;V;1;V;1;V;1;V;2;V;11;V;10;V;7;V;4;V;4;V;3;V;2;V;3;V;3;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V
28;161;1;8;28161001_8_8;2007;3;1;1;V;2;V;3;V;1;V;2;V;5;V;15;V;27;V;21;V;13;V;5;V;5;V;3;V;2;V;3;V;4;V;6;V;5;V;7;V;6;V;9;V;6;V;5;V;5;V
28;161;1;9;28161001_9_49;2007;3;1;30;V;4;V;7;V;12;V;9;V;5;V;8;V;10;V;17;V;22;V;23;V;17;V;23;V;12;V;16;V;26;V;20;V;19;V;18;V;10;V;8;V;10;V;10;V;9;V
28;161;1;14;28161001_14_6;2007;3;1;40;V;38;V;37;V;44;V;34;V;33;V;38;V;21;V;23;V;34;V;50;V;58;V;69;V;79;V;77;V;76;V;71;V;71;V;64;V;62;V;53;V;54;V;53;V;51;V
28;171;1;1;28171001_1_38;2007;3;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V
28;171;1;6;28171001_6_48;2007;3;1;0.1;V;0.1;V;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V
28;171;1;7;28171001_7_8;2007;3;1;2;V;2;V;2;V;2;V;2;V;1;V;2;V;3;V;2;V;3;V;4;V;5;V;5;V;4;V;5;V;5;V;5;V;5;V;4;V;5;V;4;V;4;V;4;V;3;V
