PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;102;1;1;28102001_1_38;2014;12;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;6;28102001_6_48;2014;12;1;0.3;V;0.3;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.3;V;0.2;V;0.3;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V
28;102;1;7;28102001_7_8;2014;12;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2014;12;1;5;V;4;V;5;V;3;V;3;V;3;V;4;V;6;V;9;V;8;V;5;V;5;V;4;V;4;V;3;V;3;V;4;V;6;V;5;V;5;V;6;V;5;V;5;V;4;V
28;102;1;10;28102001_10_49;2014;12;1;11;V;10;V;4;V;4;V;7;V;8;V;5;V;7;V;5;V;12;V;10;V;7;V;5;V;2;V;3;V;5;V;8;V;6;V;9;V;6;V;4;V;4;V;2;V;8;V
28;102;1;12;28102001_12_8;2014;12;1;7;V;6;V;7;V;5;V;5;V;5;V;6;V;8;V;12;V;11;V;7;V;7;V;6;V;6;V;5;V;5;V;6;V;8;V;7;V;7;V;8;V;7;V;7;V;6;V
28;102;1;14;28102001_14_6;2014;12;1;61;V;65;V;58;V;68;V;71;V;70;V;71;V;70;V;67;V;69;V;74;V;75;V;79;V;83;V;88;V;85;V;87;V;80;V;78;V;80;V;74;V;78;V;75;V;72;V
28;123;2;7;28123002_7_8;2014;12;1;2;V;1;V;2;V;1;V;1;V;2;V;108;V;186;V;101;V;27;V;13;V;7;V;9;V;12;V;13;V;29;V;116;V;210;V;16;V;14;V;7;V;3;V;3;V;1;V
28;123;2;8;28123002_8_8;2014;12;1;20;V;10;V;3;V;2;V;4;V;18;V;76;V;93;V;84;V;45;V;30;V;24;V;24;V;34;V;34;V;63;V;105;V;129;V;41;V;42;V;28;V;26;V;19;V;6;V
28;123;2;10;28123002_10_49;2014;12;1;25;V;25;V;25;V;20;V;13;V;12;V;14;V;18;V;34;V;28;V;22;V;13;V;13;V;13;V;8;V;8;V;8;V;13;V;13;V;37;V;16;V;14;V;12;V;10;V
