PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;102;1;1;28102001_1_38;2016;3;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V
28;102;1;6;28102001_6_48;2016;3;1;0.2;V;0.2;V;0.2;V;0.2;V;0.1;V;0.2;V;0.1;V;0.2;V;0.1;V;0.2;V;0.1;V;0.2;V;0.1;V;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V
28;102;1;7;28102001_7_8;2016;3;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;2;V;3;V;4;V;3;V;3;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2016;3;1;6;V;4;V;8;V;9;V;8;V;8;V;8;V;9;V;7;V;7;V;6;V;6;V;10;V;15;V;18;V;19;V;23;V;22;V;27;V;23;V;22;V;23;V;22;V;36;V
28;102;1;10;28102001_10_49;2016;3;1;5;V;8;V;8;V;8;V;15;V;10;V;13;V;12;V;10;V;6;V;6;V;6;V;6;V;2;V;6;V;9;V;6;V;11;V;8;V;14;V;10;V;13;V;15;V;8;V
28;102;1;12;28102001_12_8;2016;3;1;8;V;6;V;10;V;11;V;10;V;10;V;10;V;11;V;10;V;10;V;8;V;8;V;13;V;20;V;24;V;24;V;28;V;24;V;29;V;25;V;24;V;25;V;24;V;38;V
28;102;1;14;28102001_14_6;2016;3;1;78;V;79;V;76;V;70;V;70;V;70;V;73;V;67;V;63;V;66;V;70;V;83;V;89;V;86;V;83;V;83;V;80;V;75;V;71;V;75;V;66;V;61;V;60;V;48;V
28;123;2;7;28123002_7_8;2016;3;1;2;V;2;V;2;V;2;V;4;V;40;V;78;V;115;V;146;V;47;V;38;V;43;V;;N;;N;7;V;11;V;18;V;20;V;68;V;58;V;94;V;112;V;169;V;126;V
28;123;2;8;28123002_8_8;2016;3;1;14;V;12;V;15;V;17;V;38;V;65;V;71;V;81;V;83;V;55;V;55;V;61;V;;N;;N;24;V;35;V;59;V;75;V;112;V;107;V;118;V;111;V;114;V;96;V
28;123;2;10;28123002_10_49;2016;3;1;12;V;10;V;7;V;7;V;5;V;7;V;10;V;23;V;30;V;38;V;24;V;22;V;;N;36;V;17;V;12;V;20;V;11;V;19;V;26;V;34;V;33;V;30;V;33;V
28;123;2;12;28123002_12_8;2016;3;1;17;V;15;V;18;V;20;V;44;V;126;V;191;V;257;V;307;V;127;V;113;V;127;V;;N;;N;35;V;52;V;87;V;106;V;216;V;196;V;262;V;283;V;373;V;289;V
28;123;2;14;28123002_14_6;2016;3;1;76;V;77;V;71;V;69;V;35;V;5;V;4;V;6;V;13;V;27;V;38;V;38;V;;N;;N;86;V;77;V;62;V;45;V;8;V;3;V;3;V;6;V;4;V;3;V
28;123;2;14;28123002_14_8;2016;3;1;77;V;79;V;73;V;70;V;36;V;5;V;3;V;4;V;11;V;25;V;38;V;37;V;;N;;N;88;V;80;V;64;V;48;V;8;V;1;V;1;V;1;V;1;V;1;V
28;13;2;7;28013002_7_8;2016;3;1;1;V;2;V;3;V;2;V;2;V;15;V;23;V;31;V;15;V;14;V;7;V;4;V;3;V;2;V;2;V;2;V;1;V;2;V;8;V;11;V;5;V;2;V;2;V;6;V
28;13;2;8;28013002_8_8;2016;3;1;20;V;27;V;31;V;22;V;19;V;33;V;31;V;29;V;19;V;23;V;18;V;14;V;13;V;10;V;11;V;9;V;11;V;20;V;55;V;57;V;43;V;34;V;33;V;37;V
28;13;2;10;28013002_10_49;2016;3;1;12;V;1;V;4;V;7;V;8;V;6;V;13;V;4;V;12;V;17;V;13;V;11;V;10;V;9;V;9;V;9;V;7;V;6;V;4;V;15;V;22;V;17;V;24;V;22;V
28;13;2;12;28013002_12_8;2016;3;1;22;V;30;V;36;V;25;V;22;V;56;V;66;V;77;V;42;V;44;V;29;V;20;V;18;V;13;V;14;V;12;V;13;V;23;V;67;V;74;V;51;V;37;V;36;V;46;V
28;13;2;14;28013002_14_6;2016;3;1;46;V;24;V;10;V;16;V;19;V;2;V;1;V;6;V;20;V;29;V;50;V;67;V;75;V;79;V;79;V;86;V;86;V;69;V;26;V;20;V;31;V;33;V;22;V;11;V
28;133;2;7;28133002_7_8;2016;3;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;;N;;N;;N;1;V;1;V;4;V;1;V;1;V;1;V;1;V;1;V
28;133;2;8;28133002_8_8;2016;3;1;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;2;V;3;V;3;V;4;V;;N;;N;;N;4;V;8;V;28;V;16;V;9;V;9;V;8;V;5;V
28;133;2;12;28133002_12_8;2016;3;1;4;V;4;V;4;V;4;V;4;V;4;V;4;V;5;V;5;V;4;V;5;V;5;V;6;V;;N;;N;;N;6;V;10;V;34;V;18;V;11;V;11;V;10;V;7;V
28;133;2;14;28133002_14_6;2016;3;1;78;V;81;V;82;V;81;V;81;V;80;V;82;V;78;V;79;V;84;V;85;V;86;V;88;V;;N;;N;;N;81;V;77;V;56;V;67;V;73;V;69;V;63;V;68;V
28;14;2;7;28014002_7_8;2016;3;1;1;V;1;V;1;V;1;V;1;V;4;V;17;V;33;V;68;V;;N;;N;19;V;11;V;4;V;4;V;3;V;3;V;3;V;29;V;4;V;11;V;9;V;10;V;7;V
28;14;2;8;28014002_8_8;2016;3;1;9;V;9;V;13;V;12;V;15;V;30;V;47;V;56;V;71;V;;N;;N;43;V;30;V;17;V;16;V;16;V;22;V;33;V;95;V;55;V;66;V;63;V;63;V;52;V
28;14;2;10;28014002_10_49;2016;3;1;12;V;9;V;16;V;10;V;11;V;14;V;13;V;17;V;25;V;50;V;;N;;N;31;V;22;V;10;V;21;V;13;V;62;V;9;V;42;V;4;V;7;V;3;V;4;V
28;14;2;12;28014002_12_8;2016;3;1;11;V;11;V;15;V;14;V;17;V;36;V;73;V;107;V;175;V;;N;;N;72;V;47;V;23;V;22;V;21;V;27;V;38;V;139;V;61;V;83;V;77;V;78;V;63;V
28;14;2;14;28014002_14_6;2016;3;1;66;V;61;V;44;V;42;V;35;V;24;V;9;V;8;V;13;V;;N;;N;48;V;59;V;77;V;84;V;85;V;81;V;70;V;15;V;38;V;15;V;13;V;9;V;13;V
28;148;4;7;28148004_7_8;2016;3;1;1;V;1;V;1;V;1;V;2;V;34;V;55;V;97;V;126;V;99;V;71;V;27;V;18;V;11;V;9;V;10;V;9;V;13;V;26;V;7;V;5;V;37;V;55;V;75;V
28;148;4;8;28148004_8_8;2016;3;1;10;V;8;V;13;V;29;V;57;V;75;V;92;V;104;V;113;V;107;V;103;V;76;V;71;V;57;V;59;V;68;V;85;V;115;V;143;V;109;V;95;V;114;V;105;V;99;V
28;148;4;9;28148004_9_49;2016;3;1;4;V;4;V;4;V;5;V;8;V;4;V;9;V;12;V;11;V;23;V;15;V;17;V;8;V;13;V;8;V;3;V;4;V;9;V;8;V;6;V;6;V;12;V;8;V;7;V
