PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;102;1;1;28102001_1_38;2007;8;1;4;V;5;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;3;V;4;V;3;V;4;V;3;V;3;V;3;V;3;V;6;V;5;V;4;V;6;V;4;V
28;102;1;6;28102001_6_48;2007;8;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;102;1;7;28102001_7_8;2007;8;1;2;V;2;V;2;V;2;V;2;V;2;V;2;V;4;V;4;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;102;1;8;28102001_8_8;2007;8;1;5;V;4;V;6;V;4;V;1;V;2;V;5;V;6;V;7;V;5;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;5;V;7;V;9;V;9;V;12;V
28;102;1;10;28102001_10_49;2007;8;1;44;V;41;V;49;V;62;V;69;V;74;V;79;V;78;V;73;V;74;V;70;V;83;V;91;V;82;V;93;V;91;V;90;V;107;V;86;V;74;V;63;V;59;V;45;V;33;V
28;102;1;14;28102001_14_6;2007;8;1;81;V;74;V;63;V;61;V;65;V;59;V;52;V;50;V;71;V;92;V;97;V;95;V;98;V;104;V;113;V;108;V;94;V;90;V;97;V;89;V;79;V;74;V;75;V;69;V
28;123;2;7;28123002_7_8;2007;8;1;4;V;4;V;2;V;3;V;5;V;49;V;67;V;21;V;22;V;16;V;14;V;10;V;8;V;9;V;8;V;9;V;10;V;12;V;12;V;19;V;19;V;16;V;12;V;14;V
28;123;2;8;28123002_8_8;2007;8;1;33;V;20;V;16;V;23;V;33;V;57;V;60;V;38;V;49;V;38;V;30;V;21;V;15;V;19;V;16;V;17;V;21;V;31;V;40;V;60;V;67;V;69;V;55;V;54;V
28;123;2;10;28123002_10_49;2007;8;1;52;V;55;V;57;V;65;V;76;V;82;V;116;V;117;V;109;V;121;V;112;V;100;V;116;V;126;V;140;V;117;V;156;V;111;V;79;V;67;V;115;V;62;V;50;V;52;V
28;123;2;14;28123002_14_6;2007;8;1;42;V;50;V;39;V;27;V;18;V;4;V;9;V;38;V;54;V;72;V;81;V;99;V;100;V;96;V;99;V;87;V;84;V;80;V;68;V;44;V;30;V;19;V;16;V;4;V
28;13;2;7;28013002_7_8;2007;8;1;3;V;2;V;2;V;2;V;2;V;15;V;39;V;29;V;7;V;5;V;3;V;2;V;2;V;2;V;;N;3;V;3;V;3;V;3;V;2;V;2;V;3;V;2;V;2;V
28;13;2;8;28013002_8_8;2007;8;1;24;V;18;V;17;V;14;V;18;V;27;V;35;V;36;V;30;V;31;V;18;V;11;V;11;V;13;V;;N;17;V;12;V;16;V;24;V;30;V;27;V;33;V;23;V;27;V
