PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;102;1;1;28102001_1_38;2011;11;1;5;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;3;V;4;V;3;V;3;V;4;V;4;V;4;V;4;V;5;V;3;V;4;V;4;V;3;V;3;V
28;102;1;6;28102001_6_48;2011;11;1;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V
28;102;1;7;28102001_7_8;2011;11;1;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;102;1;8;28102001_8_8;2011;11;1;9;V;11;V;8;V;7;V;7;V;6;V;7;V;6;V;6;V;5;V;6;V;4;V;5;V;3;V;3;V;3;V;4;V;5;V;6;V;5;V;8;V;7;V;6;V;7;V
28;102;1;10;28102001_10_49;2011;11;1;16;V;21;V;22;V;19;V;18;V;18;V;21;V;20;V;21;V;18;V;20;V;20;V;18;V;18;V;14;V;16;V;20;V;12;V;13;V;18;V;16;V;13;V;19;V;16;V
28;102;1;14;28102001_14_6;2011;11;1;52;V;47;V;50;V;50;V;49;V;46;V;44;V;42;V;40;V;46;V;53;V;73;V;75;V;86;V;88;V;88;V;83;V;79;V;74;V;76;V;71;V;71;V;64;V;59;V
28;123;2;7;28123002_7_8;2011;11;1;24;V;17;V;21;V;5;V;3;V;4;V;10;V;5;V;6;V;6;V;6;V;7;V;7;V;8;V;6;V;6;V;9;V;18;V;29;V;34;V;39;V;90;V;44;V;20;V
28;123;2;8;28123002_8_8;2011;11;1;29;V;24;V;21;V;10;V;3;V;4;V;5;V;3;V;1;V;2;V;1;V;1;V;1;V;3;V;2;V;2;V;10;V;31;V;45;V;51;V;50;V;50;V;32;V;22;V
28;123;2;10;28123002_10_49;2011;11;1;36;V;32;V;29;V;23;V;24;V;22;V;22;V;18;V;21;V;30;V;28;V;34;V;26;V;29;V;28;V;22;V;21;V;18;V;26;V;28;V;34;V;32;V;39;V;31;V
28;123;2;14;28123002_14_6;2011;11;1;9;V;6;V;5;V;18;V;25;V;24;V;30;V;33;V;44;V;47;V;61;V;65;V;71;V;65;V;72;V;75;V;59;V;31;V;16;V;7;V;7;V;6;V;5;V;13;V
28;13;2;7;28013002_7_8;2011;11;1;5;V;3;V;2;V;4;V;3;V;4;V;4;V;6;V;8;V;5;V;3;V;2;V;2;V;2;V;2;V;1;V;2;V;2;V;2;V;11;V;5;V;4;V;2;V;2;V
28;13;2;8;28013002_8_8;2011;11;1;18;V;12;V;10;V;11;V;8;V;6;V;6;V;6;V;6;V;4;V;2;V;1;V;1;V;2;V;1;V;1;V;12;V;30;V;17;V;44;V;31;V;25;V;12;V;8;V
