PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;102;1;1;28102001_1_38;2007;1;1;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V
28;102;1;6;28102001_6_48;2007;1;1;0.3;V;0.3;V;0.4;V;0.3;V;0.3;V;0.3;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V
28;102;1;7;28102001_7_8;2007;1;1;1;V;1;V;2;V;1;V;1;V;1;V;2;V;1;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2007;1;1;16;V;18;V;30;V;27;V;24;V;29;V;27;V;22;V;16;V;12;V;8;V;7;V;8;V;11;V;12;V;14;V;17;V;19;V;18;V;17;V;16;V;16;V;22;V;11;V
28;102;1;10;28102001_10_49;2007;1;1;13;V;20;V;26;V;32;V;44;V;37;V;43;V;29;V;21;V;19;V;20;V;19;V;16;V;16;V;22;V;23;V;27;V;31;V;24;V;28;V;32;V;39;V;31;V;37;V
28;102;1;14;28102001_14_6;2007;1;1;28;V;22;V;15;V;19;V;20;V;16;V;12;V;16;V;30;V;36;V;39;V;41;V;41;V;40;V;40;V;39;V;35;V;30;V;27;V;26;V;27;V;30;V;22;V;33;V
28;123;2;7;28123002_7_8;2007;1;1;62;V;63;V;25;V;15;V;7;V;8;V;10;V;13;V;13;V;9;V;10;V;11;V;17;V;20;V;10;V;10;V;10;V;14;V;42;V;50;V;84;V;174;V;160;V;146;V
28;123;2;8;28123002_8_8;2007;1;1;62;V;61;V;47;V;39;V;25;V;24;V;31;V;34;V;33;V;25;V;24;V;26;V;28;V;27;V;20;V;18;V;24;V;37;V;49;V;53;V;56;V;62;V;49;V;42;V
28;123;2;10;28123002_10_49;2007;1;1;131;V;161;V;115;V;76;V;66;V;47;V;40;V;45;V;48;V;47;V;41;V;43;V;44;V;61;V;36;V;36;V;27;V;35;V;54;V;72;V;73;V;77;V;110;V;116;V
28;123;2;14;28123002_14_6;2007;1;1;4;V;2;V;4;V;2;V;7;V;8;V;5;V;3;V;5;V;14;V;21;V;20;V;22;V;25;V;32;V;32;V;26;V;12;V;5;V;4;V;4;V;5;V;6;V;5;V
28;13;2;7;28013002_7_8;2007;1;1;4;V;3;V;3;V;3;V;3;V;3;V;4;V;4;V;5;V;6;V;6;V;4;V;3;V;4;V;4;V;3;V;3;V;4;V;5;V;22;V;21;V;32;V;40;V;25;V
28;13;2;8;28013002_8_8;2007;1;1;22;V;12;V;17;V;11;V;11;V;9;V;13;V;13;V;13;V;12;V;13;V;11;V;10;V;10;V;8;V;7;V;12;V;21;V;24;V;32;V;26;V;25;V;25;V;18;V
28;13;2;10;28013002_10_49;2007;1;1;52;V;42;V;44;V;32;V;34;V;40;V;34;V;38;V;35;V;40;V;33;V;35;V;27;V;16;V;12;V;9;V;10;V;13;V;25;V;16;V;25;V;23;V;21;V;27;V
28;13;2;14;28013002_14_6;2007;1;1;17;V;26;V;14;V;12;V;11;V;12;V;8;V;7;V;8;V;9;V;15;V;27;V;33;V;38;V;38;V;38;V;31;V;16;V;10;V;4;V;3;V;4;V;4;V;3;V
28;133;2;7;28133002_7_8;2007;1;1;4;V;2;V;1;V;3;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;2;V;2;V;3;V;2;V;2;V;3;V;3;V;2;V;2;V;5;V;4;V;2;V;2;V
28;133;2;8;28133002_8_8;2007;1;1;12;V;7;V;5;V;6;V;5;V;6;V;5;V;8;V;6;V;6;V;4;V;4;V;5;V;5;V;5;V;6;V;11;V;10;V;6;V;8;V;10;V;8;V;5;V;5;V
28;133;2;10;28133002_10_49;2007;1;1;25;V;26;V;11;V;12;V;15;V;13;V;18;V;16;V;9;V;12;V;13;V;12;V;13;V;18;V;11;V;10;V;16;V;16;V;22;V;11;V;20;V;17;V;22;V;8;V
28;133;2;14;28133002_14_6;2007;1;1;30;V;40;V;40;V;24;V;27;V;23;V;18;V;18;V;25;V;28;V;29;V;46;V;50;V;52;V;53;V;48;V;40;V;47;V;63;V;53;V;43;V;42;V;55;V;50;V
28;14;2;7;28014002_7_8;2007;1;1;6;V;7;V;4;V;7;V;7;V;6;V;5;V;6;V;9;V;8;V;6;V;6;V;7;V;6;V;6;V;6;V;6;V;5;V;5;V;7;V;14;V;14;V;12;V;16;V
28;14;2;8;28014002_8_8;2007;1;1;34;V;35;V;27;V;34;V;30;V;30;V;27;V;25;V;24;V;22;V;18;V;15;V;17;V;13;V;13;V;15;V;17;V;24;V;22;V;29;V;32;V;30;V;26;V;22;V
28;14;2;10;28014002_10_49;2007;1;1;47;V;40;V;53;V;73;V;43;V;41;V;45;V;39;V;41;V;47;V;42;V;35;V;30;V;28;V;26;V;25;V;29;V;28;V;31;V;33;V;32;V;30;V;30;V;29;V
