PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;102;1;1;28102001_1_38;2015;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;6;28102001_6_48;2015;1;1;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V
28;102;1;7;28102001_7_8;2015;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2015;1;1;14;V;9;V;7;V;4;V;3;V;3;V;2;V;2;V;2;V;3;V;4;V;3;V;2;V;2;V;2;V;3;V;3;V;8;V;11;V;5;V;3;V;5;V;8;V;9;V
28;102;1;10;28102001_10_49;2015;1;1;2;V;3;V;5;V;5;V;2;V;3;V;1;V;1;V;4;V;8;V;6;V;8;V;3;V;1;V;3;V;3;V;2;V;3;V;12;V;16;V;4;V;4;V;6;V;8;V
28;102;1;12;28102001_12_8;2015;1;1;16;V;11;V;9;V;6;V;5;V;5;V;4;V;4;V;4;V;5;V;6;V;5;V;4;V;4;V;4;V;5;V;5;V;10;V;13;V;7;V;5;V;7;V;10;V;11;V
28;102;1;14;28102001_14_6;2015;1;1;56;V;59;V;62;V;70;V;76;V;78;V;79;V;77;V;75;V;72;V;64;V;76;V;88;V;89;V;88;V;87;V;85;V;76;V;64;V;84;V;88;V;84;V;76;V;68;V
28;123;2;7;28123002_7_8;2015;1;1;298;V;354;V;373;V;304;V;256;V;205;V;216;V;254;V;179;V;129;V;132;V;132;V;124;V;108;V;106;V;105;V;107;V;187;V;207;V;226;V;253;V;233;V;232;V;167;V
28;123;2;8;28123002_8_8;2015;1;1;159;V;184;V;183;V;145;V;119;V;102;V;97;V;110;V;88;V;60;V;60;V;72;V;62;V;37;V;34;V;32;V;49;V;119;V;135;V;136;V;156;V;139;V;137;V;99;V
28;123;2;10;28123002_10_49;2015;1;1;162;N;206;N;168;N;174;N;145;N;127;N;91;N;67;N;66;N;60;N;55;N;37;N;28;N;24;N;17;N;22;N;12;N;11;N;11;N;191;N;214;N;;N;88;N;85;N
28;123;2;12;28123002_12_8;2015;1;1;616;V;727;V;755;V;611;V;512;V;416;V;428;V;499;V;362;V;258;V;262;V;274;V;252;V;203;V;197;V;193;V;213;V;406;V;452;V;483;V;544;V;496;V;493;V;355;V
28;123;2;14;28123002_14_6;2015;1;1;60;V;51;V;48;V;39;V;29;V;17;V;16;V;19;V;13;V;17;V;22;V;29;V;37;V;57;V;55;V;60;V;38;V;23;V;87;V;59;V;43;V;33;V;25;V;13;V
28;123;2;14;28123002_14_8;2015;1;1;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;8;V;14;V;21;V;32;V;58;V;58;V;65;V;40;V;4;V;2;V;2;V;1;V;2;V;2;V;2;V
28;13;2;7;28013002_7_8;2015;1;1;15;V;10;V;7;V;8;V;16;V;9;V;9;V;8;V;8;V;10;V;9;V;8;V;5;V;3;V;2;V;2;V;26;V;48;V;83;V;27;V;18;V;8;V;4;V;2;V
28;13;2;8;28013002_8_8;2015;1;1;29;V;27;V;22;V;24;V;26;V;22;V;21;V;20;V;13;V;13;V;13;V;15;V;14;V;10;V;8;V;12;V;61;V;81;V;81;V;58;V;48;V;34;V;25;V;16;V
28;13;2;10;28013002_10_49;2015;1;1;27;V;24;V;19;V;14;V;17;V;16;V;15;V;15;V;14;V;13;V;12;V;14;V;14;V;11;V;18;V;8;V;10;V;25;V;36;V;37;V;19;V;17;V;14;V;10;V
28;13;2;12;28013002_12_8;2015;1;1;52;V;42;V;33;V;36;V;51;V;36;V;35;V;32;V;25;V;28;V;27;V;27;V;22;V;15;V;11;V;15;V;101;V;155;V;208;V;99;V;76;V;46;V;31;V;19;V
28;13;2;14;28013002_14_6;2015;1;1;7;V;8;V;7;V;6;V;6;V;7;V;6;V;7;V;12;V;17;V;24;V;31;V;53;V;69;V;75;V;75;V;29;V;12;V;8;V;7;V;9;V;14;V;14;V;20;V
28;133;2;7;28133002_7_8;2015;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;2;V;2;V;2;V;3;V;3;V;3;V;6;V;4;V;2;V;3;V
28;133;2;8;28133002_8_8;2015;1;1;4;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;9;V;13;V;8;V;9;V;15;V;16;V;21;V;31;V;25;V;26;V;30;V;32;V;19;V;18;V
