PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;102;1;1;28102001_1_38;2011;12;1;1;V;1;V;1;V;2;V;2;V;1;V;2;V;3;V;2;V;3;V;2;V;2;V;2;V;3;V;3;V;2;V;5;V;4;V;1;V;1;V;1;V;2;V;1;V;2;V
28;102;1;6;28102001_6_48;2011;12;1;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V
28;102;1;7;28102001_7_8;2011;12;1;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;4;V;3;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;102;1;8;28102001_8_8;2011;12;1;6;V;6;V;6;V;5;V;4;V;3;V;3;V;3;V;4;V;3;V;6;V;6;V;6;V;6;V;6;V;4;V;5;V;7;V;10;V;10;V;9;V;10;V;11;V;10;V
28;102;1;10;28102001_10_49;2011;12;1;18;V;16;V;15;V;14;V;13;V;13;V;15;V;12;V;10;V;15;V;11;V;12;V;12;V;10;V;10;V;7;V;7;V;7;V;9;V;15;V;18;V;20;V;13;V;16;V
28;102;1;14;28102001_14_6;2011;12;1;62;V;63;V;59;V;53;V;55;V;54;V;52;V;50;V;45;V;48;V;53;V;50;V;67;V;76;V;80;V;89;V;86;V;77;V;68;V;61;V;57;V;59;V;59;V;58;V
28;123;2;7;28123002_7_8;2011;12;1;28;V;20;V;23;V;9;V;7;V;21;V;39;V;123;V;144;V;64;V;41;V;38;V;20;V;22;V;14;V;29;V;57;V;81;V;70;V;47;V;68;V;93;V;30;V;31;V
28;123;2;8;28123002_8_8;2011;12;1;42;V;32;V;25;V;20;V;16;V;17;V;23;V;44;V;49;V;32;V;28;V;27;V;15;V;14;V;13;V;35;V;67;V;81;V;75;V;64;V;73;V;69;V;44;V;40;V
28;123;2;10;28123002_10_49;2011;12;1;52;V;40;V;34;V;34;V;30;V;35;V;36;V;42;V;52;V;54;V;38;V;34;V;45;V;38;V;30;V;23;V;24;V;34;V;51;V;42;V;32;V;40;V;44;V;30;V
28;123;2;14;28123002_14_6;2011;12;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;5;V;12;V;21;V;32;V;34;V;50;V;31;V;9;V;3;V;1;V;1;V;1;V;2;V;1;V;1;V
28;13;2;7;28013002_7_8;2011;12;1;4;V;4;V;4;V;3;V;3;V;5;V;4;V;8;V;11;V;11;V;14;V;10;V;8;V;8;V;8;V;9;V;31;V;68;V;55;V;22;V;24;V;29;V;18;V;11;V
28;13;2;8;28013002_8_8;2011;12;1;21;V;20;V;18;V;16;V;15;V;17;V;14;V;15;V;15;V;14;V;18;V;19;V;18;V;22;V;27;V;37;V;69;V;89;V;67;V;51;V;44;V;44;V;37;V;28;V
28;13;2;10;28013002_10_49;2011;12;1;25;V;23;V;15;V;20;V;14;V;18;V;8;V;7;V;8;V;8;V;10;V;29;V;24;V;17;V;23;V;21;V;22;V;36;V;45;V;38;V;31;V;27;V;34;V;24;V
28;13;2;14;28013002_14_6;2011;12;1;7;V;7;V;7;V;8;V;8;V;8;V;9;V;7;V;9;V;12;V;12;V;22;V;32;V;38;V;38;V;30;V;9;V;5;V;7;V;5;V;4;V;5;V;4;V;4;V
28;133;2;7;28133002_7_8;2011;12;1;1;V;1;V;1;V;1;V;1;V;1;V;5;V;20;V;13;V;14;V;9;V;5;V;5;V;5;V;3;V;2;V;;N;2;V;2;V;1;V;3;V;1;V;1;V;1;V
28;133;2;8;28133002_8_8;2011;12;1;8;V;5;V;2;V;4;V;2;V;5;V;11;V;18;V;16;V;19;V;15;V;12;V;14;V;16;V;13;V;14;V;;N;11;V;7;V;3;V;5;V;4;V;6;V;2;V
28;133;2;10;28133002_10_49;2011;12;1;29;V;24;V;18;V;15;V;11;V;18;V;10;V;14;V;28;V;20;V;29;V;29;V;25;V;21;V;26;V;17;V;23;V;18;V;22;V;21;V;18;V;14;V;17;V;24;V
28;133;2;14;28133002_14_6;2011;12;1;32;V;32;V;36;V;29;V;37;V;31;V;26;V;22;V;27;V;27;V;35;V;50;V;54;V;59;V;70;V;73;V;;N;70;V;73;V;78;V;76;V;76;V;61;V;67;V
28;14;2;7;28014002_7_8;2011;12;1;33;V;38;V;26;V;24;V;24;V;27;V;61;V;85;V;130;V;107;V;88;V;91;V;55;V;16;V;10;V;14;V;35;V;26;V;26;V;16;V;6;V;7;V;15;V;1;V
28;14;2;8;28014002_8_8;2011;12;1;45;V;38;V;31;V;29;V;27;V;29;V;32;V;43;V;59;V;62;V;55;V;61;V;42;V;22;V;20;V;33;V;54;V;50;V;54;V;59;V;47;V;46;V;38;V;33;V
28;14;2;10;28014002_10_49;2011;12;1;35;V;39;V;37;V;34;V;33;V;31;V;31;V;33;V;37;V;52;V;58;V;56;V;69;V;66;V;40;V;30;V;45;V;48;V;43;V;29;V;31;V;33;V;26;V;30;V
28;14;2;14;28014002_14_6;2011;12;1;4;V;3;V;6;V;4;V;6;V;4;V;4;V;4;V;3;V;5;V;7;V;11;V;12;V;22;V;29;V;20;V;10;V;9;V;8;V;4;V;12;V;12;V;19;V;19;V
28;148;4;7;28148004_7_8;2011;12;1;14;V;26;V;11;V;6;V;8;V;22;V;64;V;98;V;98;V;;N;94;V;34;V;19;V;10;V;6;V;3;V;8;V;52;V;35;V;57;V;50;V;52;V;43;V;26;V
28;148;4;8;28148004_8_8;2011;12;1;42;V;42;V;35;V;30;V;27;V;30;V;39;V;51;V;54;V;;N;59;V;44;V;37;V;30;V;25;V;25;V;52;V;84;V;71;V;68;V;66;V;67;V;57;V;51;V
28;148;4;9;28148004_9_49;2011;12;1;37;V;17;V;22;V;22;V;21;V;21;V;14;V;16;V;20;V;6;V;2;V;35;V;26;V;28;V;16;V;16;V;14;V;13;V;28;V;21;V;22;V;25;V;11;V;24;V
28;148;4;10;28148004_10_49;2011;12;1;35;V;28;V;30;V;28;V;23;V;26;V;25;V;34;V;42;V;;N;;N;62;V;46;V;28;V;22;V;23;V;20;V;30;V;49;V;38;V;39;V;35;V;37;V;30;V
28;148;4;14;28148004_14_6;2011;12;1;3;V;3;V;3;V;4;V;3;V;3;V;3;V;3;V;4;V;;N;7;V;15;V;27;V;40;V;45;V;56;V;25;V;4;V;3;V;3;V;4;V;3;V;3;V;4;V
28;16;1;1;28016001_1_38;2011;12;1;4;V;4;V;4;V;4;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;7;V;6;V;6;V;6;V;7;V;7;V;7;V;7;V;7;V;7;V;8;V;8;V
28;16;1;6;28016001_6_48;2011;12;1;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.3;V;0.3;V;0.3;V;0.4;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V
28;16;1;7;28016001_7_8;2011;12;1;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;4;V;4;V;4;V;2;V;2;V;2;V;3;V;5;V;2;V;2;V;2;V;3;V;3;V;3;V
28;16;1;8;28016001_8_8;2011;12;1;22;V;20;V;18;V;17;V;14;V;13;V;12;V;11;V;12;V;11;V;17;V;19;V;22;V;16;V;12;V;17;V;43;V;80;V;62;V;53;V;52;V;69;V;64;V;66;V
28;16;1;9;28016001_9_49;2011;12;1;18;V;19;V;17;V;19;V;9;V;9;V;9;V;16;V;11;V;11;V;11;V;15;V;18;V;20;V;19;V;16;V;20;V;24;V;23;V;24;V;21;V;18;V;20;V;19;V
28;16;1;10;28016001_10_49;2011;12;1;24;V;22;V;20;V;16;V;18;V;11;V;15;V;12;V;11;V;12;V;10;V;20;V;19;V;26;V;20;V;17;V;19;V;26;V;29;V;23;V;24;V;28;V;30;V;29;V
28;16;1;14;28016001_14_6;2011;12;1;25;V;25;V;34;V;30;V;36;V;35;V;39;V;39;V;44;V;48;V;46;V;44;V;55;V;70;V;72;V;64;V;36;V;8;V;20;V;21;V;19;V;7;V;7;V;4;V
28;16;1;20;28016001_20_59;2011;12;1;0.9;V;0.9;V;0.8;V;0.8;V;0.8;V;0.7;V;0.7;V;0.6;V;0.6;V;0.6;V;0.6;V;0.9;V;0.9;V;0.9;V;0.6;V;0.5;V;0.9;V;1.4;V;1.6;V;1.5;V;1.3;V;1.6;V;1.7;V;1.7;V
28;16;1;30;28016001_30_59;2011;12;1;0.4;V;0.5;V;0.5;V;0.4;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.6;V;0.6;V;0.5;V;0.5;V;0.6;V;0.6;V;0.6;V
28;16;1;42;28016001_42_2;2011;12;1;6.1;V;6.1;V;6.1;V;6.1;V;6.1;V;6.1;V;6.1;V;6.1;V;6.1;V;6.1;V;6.1;V;6.1;V;6.1;V;6.1;V;6.1;V;6.2;V;6.7;V;7.8;V;7.8;V;7.7;V;7.9;V;8.8;V;8.7;V;8.4;V
28;16;1;44;28016001_44_2;2011;12;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;1.5;N;0.4;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.4;V
28;161;1;7;28161001_7_8;2011;12;1;147;V;148;V;141;V;125;V;117;V;115;V;128;V;223;V;285;V;83;V;48;V;36;V;33;V;18;V;9;V;6;V;10;V;31;V;46;V;26;V;14;V;10;V;8;V;4;V
28;161;1;8;28161001_8_8;2011;12;1;71;V;67;V;54;V;45;V;42;V;42;V;52;V;76;V;108;V;52;V;30;V;25;V;24;V;19;V;15;V;20;V;39;V;59;V;62;V;53;V;37;V;30;V;28;V;18;V
28;161;1;9;28161001_9_49;2011;12;1;37;V;45;V;43;V;40;V;36;V;23;V;27;V;33;V;37;V;41;V;37;V;28;V;15;V;18;V;19;V;15;V;13;V;21;V;30;V;26;V;21;V;31;V;22;V;25;V
28;161;1;14;28161001_14_6;2011;12;1;2;V;2;V;2;V;2;V;3;V;4;V;3;V;4;V;4;V;7;V;11;V;14;V;18;V;24;V;38;V;44;V;23;V;5;V;4;V;11;V;13;V;12;V;14;V;22;V
28;171;1;1;28171001_1_38;2011;12;1;2;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;3;V
28;171;1;6;28171001_6_48;2011;12;1;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V
28;171;1;7;28171001_7_8;2011;12;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;4;V;4;V;4;V;7;V;8;V;7;V;5;V;6;V;7;V;5;V;6;V;2;V;4;V;2;V;4;V;3;V
