PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;102;1;1;28102001_1_38;2015;10;1;1;V;1;V;1;V;1;V;1;V;2;V;1;V;;N;;N;1;V;1;V;1;V;1;V;2;V;1;V;2;V;2;V;1;V;2;V;2;V;1;V;1;V;1;V;2;V
28;102;1;6;28102001_6_48;2015;10;1;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.1;V;0.1;V;;N;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;102;1;7;28102001_7_8;2015;10;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;;N;;N;;N;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2015;10;1;4;V;3;V;3;V;4;V;4;V;4;V;4;V;;N;;N;;N;6;V;8;V;6;V;14;V;4;V;5;V;4;V;4;V;8;V;12;V;14;V;15;V;19;V;16;V
28;102;1;10;28102001_10_49;2015;10;1;11;V;11;V;12;V;9;V;7;V;11;V;14;V;19;V;13;V;15;V;23;V;22;V;9;V;10;V;11;V;5;V;3;V;6;V;5;V;10;V;9;V;8;V;12;V;7;V
28;102;1;12;28102001_12_8;2015;10;1;6;V;5;V;5;V;6;V;6;V;6;V;6;V;;N;;N;;N;8;V;10;V;8;V;16;V;6;V;7;V;6;V;6;V;10;V;14;V;16;V;17;V;21;V;18;V
28;102;1;14;28102001_14_6;2015;10;1;86;V;83;V;76;V;74;V;71;V;70;V;60;V;;N;;N;;N;87;V;101;V;106;V;101;V;111;V;113;V;110;V;107;V;93;V;79;V;74;V;72;V;63;V;65;V
28;123;2;7;28123002_7_8;2015;10;1;4;V;3;V;3;V;4;V;9;V;34;V;79;V;77;V;52;V;34;V;21;V;18;V;3;V;3;V;3;V;4;V;5;V;5;V;6;V;4;V;2;V;2;V;1;V;1;V
28;123;2;8;28123002_8_8;2015;10;1;64;V;62;V;59;V;49;V;49;V;56;V;63;V;59;V;52;V;50;V;50;V;55;V;17;V;17;V;16;V;20;V;27;V;38;V;53;V;51;V;47;V;48;V;43;V;40;V
28;123;2;10;28123002_10_49;2015;10;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;123;2;12;28123002_12_8;2015;10;1;70;V;67;V;64;V;55;V;63;V;108;V;184;V;177;V;132;V;102;V;82;V;83;V;22;V;22;V;21;V;26;V;35;V;46;V;62;V;57;V;50;V;51;V;45;V;42;V
28;123;2;14;28123002_14_6;2015;10;1;5;V;3;V;2;V;3;V;1;V;1;V;1;V;3;V;13;V;24;V;45;V;54;V;94;V;97;V;98;V;95;V;91;V;79;V;57;V;53;V;53;V;50;V;49;V;50;V
28;123;2;14;28123002_14_8;2015;10;1;4;V;3;V;2;V;6;V;4;V;1;V;1;V;5;V;14;V;24;V;44;V;53;V;96;V;100;V;101;V;99;V;94;V;81;V;59;V;53;V;54;V;49;V;49;V;49;V
28;13;2;7;28013002_7_8;2015;10;1;1;V;1;V;1;V;1;V;1;V;1;V;8;V;8;V;4;V;3;V;4;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;4;V;3;V;2;V;1;V;1;V;1;V
28;13;2;8;28013002_8_8;2015;10;1;15;V;11;V;10;V;12;V;10;V;12;V;20;V;16;V;8;V;9;V;14;V;14;V;16;V;8;V;7;V;8;V;14;V;26;V;61;V;60;V;45;V;23;V;15;V;10;V
28;13;2;10;28013002_10_49;2015;10;1;18;V;16;V;10;V;8;V;15;V;14;V;13;V;19;V;21;V;17;V;23;V;27;V;25;V;22;V;11;V;7;V;14;V;17;V;17;V;27;V;25;V;21;V;8;V;7;V
28;13;2;12;28013002_12_8;2015;10;1;17;V;13;V;12;V;14;V;12;V;14;V;32;V;28;V;14;V;14;V;20;V;19;V;19;V;10;V;9;V;10;V;16;V;28;V;67;V;65;V;48;V;25;V;17;V;12;V
28;13;2;14;28013002_14_6;2015;10;1;29;V;29;V;27;V;25;V;23;V;19;V;11;V;14;V;28;V;41;V;62;V;82;V;99;V;109;V;109;V;109;V;100;V;83;V;39;V;36;V;44;V;62;V;70;V;75;V
28;133;2;7;28133002_7_8;2015;10;1;2;V;2;V;2;V;2;V;2;V;3;V;4;V;6;V;4;V;2;V;2;V;3;V;3;V;2;V;4;V;1;V;1;V;1;V;1;V;4;V;2;V;1;V;1;V;1;V
28;133;2;8;28133002_8_8;2015;10;1;9;V;8;V;8;V;8;V;8;V;13;V;15;V;22;V;14;V;7;V;4;V;5;V;6;V;6;V;8;V;3;V;3;V;3;V;6;V;28;V;16;V;6;V;4;V;4;V
28;133;2;10;28133002_10_49;2015;10;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;133;2;12;28133002_12_8;2015;10;1;12;V;11;V;11;V;11;V;11;V;18;V;21;V;31;V;20;V;10;V;7;V;10;V;11;V;9;V;14;V;5;V;5;V;5;V;8;V;34;V;19;V;8;V;6;V;6;V
28;133;2;14;28133002_14_6;2015;10;1;44;V;43;V;39;V;44;V;35;V;28;V;37;V;30;V;47;V;71;V;88;V;93;V;95;V;95;V;95;V;100;V;102;V;97;V;90;V;65;V;71;V;83;V;84;V;81;V
28;14;2;7;28014002_7_8;2015;10;1;1;V;1;V;1;V;1;V;4;V;20;V;41;V;42;V;29;V;30;V;8;V;4;V;5;V;2;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;14;2;8;28014002_8_8;2015;10;1;23;V;21;V;19;V;18;V;29;V;39;V;44;V;43;V;36;V;44;V;27;V;20;V;26;V;13;V;11;V;12;V;15;V;15;V;19;V;26;V;25;V;38;V;33;V;19;V
28;14;2;10;28014002_10_49;2015;10;1;33;V;31;V;29;V;21;V;16;V;22;V;25;V;43;V;42;V;48;V;54;V;35;V;36;V;30;V;22;V;32;V;24;V;21;V;17;V;12;V;14;V;12;V;13;V;13;V
28;14;2;12;28014002_12_8;2015;10;1;25;V;23;V;21;V;20;V;35;V;70;V;107;V;107;V;80;V;90;V;39;V;26;V;34;V;16;V;13;V;15;V;18;V;17;V;21;V;28;V;27;V;40;V;35;V;21;V
28;14;2;14;28014002_14_6;2015;10;1;31;V;31;V;31;V;29;V;10;V;2;V;3;V;6;V;17;V;22;V;55;V;71;V;78;V;97;V;98;V;97;V;91;V;92;V;77;V;63;V;63;V;38;V;42;V;58;V
28;148;4;7;28148004_7_8;2015;10;1;1;V;1;V;1;V;1;V;2;V;22;V;41;V;43;V;26;V;22;V;15;V;10;V;4;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;148;4;8;28148004_8_8;2015;10;1;34;V;32;V;26;V;26;V;39;V;52;V;58;V;57;V;51;V;53;V;56;V;58;V;31;V;12;V;9;V;11;V;14;V;23;V;34;V;49;V;64;V;63;V;32;V;22;V
28;148;4;9;28148004_9_49;2015;10;1;8;V;5;V;5;V;5;V;7;V;6;V;11;V;10;V;9;V;12;V;17;V;13;V;12;V;14;V;13;V;1;V;3;V;7;V;5;V;5;V;3;V;3;V;6;V;3;V
28;148;4;10;28148004_10_49;2015;10;1;18;V;14;V;10;V;9;V;17;V;20;V;22;V;27;V;24;V;23;V;27;V;36;V;24;V;11;V;11;V;8;V;12;V;16;V;15;V;15;V;13;V;13;V;13;V;5;V
28;148;4;12;28148004_12_8;2015;10;1;36;V;34;V;28;V;28;V;42;V;86;V;121;V;123;V;91;V;87;V;79;V;73;V;37;V;14;V;11;V;13;V;16;V;25;V;36;V;51;V;66;V;65;V;34;V;24;V
28;148;4;14;28148004_14_6;2015;10;1;22;V;18;V;21;V;18;V;6;V;1;V;1;V;4;V;14;V;25;V;36;V;53;V;81;V;100;V;105;V;101;V;99;V;87;V;69;V;47;V;33;V;30;V;60;V;65;V
28;16;1;1;28016001_1_38;2015;10;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;16;1;6;28016001_6_48;2015;10;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;16;1;7;28016001_7_8;2015;10;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;16;1;8;28016001_8_8;2015;10;1;7;V;6;V;6;V;5;V;5;V;7;V;7;V;6;V;5;V;5;V;4;V;2;V;2;V;2;V;3;V;2;V;2;V;3;V;4;V;5;V;6;V;5;V;4;V;5;V
28;16;1;9;28016001_9_49;2015;10;1;4;V;7;V;6;V;7;V;7;V;7;V;7;V;6;V;8;V;9;V;10;V;11;V;7;V;3;V;7;V;8;V;4;V;7;V;7;V;3;V;6;V;3;V;7;V;6;V
28;16;1;10;28016001_10_49;2015;10;1;12;V;11;V;12;V;10;V;14;V;13;V;13;V;17;V;20;V;16;V;17;V;15;V;7;V;5;V;7;V;9;V;10;V;7;V;7;V;9;V;12;V;11;V;10;V;7;V
28;16;1;12;28016001_12_8;2015;10;1;9;V;8;V;8;V;7;V;7;V;9;V;9;V;8;V;7;V;7;V;6;V;4;V;4;V;4;V;5;V;4;V;4;V;5;V;6;V;7;V;8;V;7;V;6;V;7;V
28;16;1;14;28016001_14_6;2015;10;1;85;V;82;V;78;V;85;V;85;V;85;V;68;V;86;V;89;V;93;V;108;V;107;V;107;V;110;V;113;V;114;V;108;V;105;V;104;V;104;V;103;V;102;V;91;V;92;V
