PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;102;1;1;28102001_1_38;2009;1;1;8;V;9;V;9;V;9;V;8;V;10;V;9;V;9;V;9;V;8;V;7;V;9;V;8;V;9;V;10;V;9;V;9;V;9;V;8;V;9;V;8;V;8;V;9;V;8;V
28;102;1;6;28102001_6_48;2009;1;1;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V
28;102;1;7;28102001_7_8;2009;1;1;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;102;1;8;28102001_8_8;2009;1;1;6;V;6;V;6;V;6;V;6;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;6;V;7;V;6;V;6;V;8;V;11;V;10;V;10;V;10;V;10;V
28;102;1;10;28102001_10_49;2009;1;1;13;V;15;V;21;V;11;V;12;V;13;V;13;V;12;V;7;V;19;V;16;V;19;V;10;V;27;V;15;V;15;V;16;V;15;V;14;V;16;V;16;V;17;V;16;V;18;V
28;102;1;14;28102001_14_6;2009;1;1;56;V;50;V;47;V;45;V;45;V;45;V;44;V;42;V;42;V;42;V;43;V;44;V;53;V;55;V;54;V;58;V;54;V;54;V;55;V;54;V;53;V;51;V;48;V;48;V
28;123;2;7;28123002_7_8;2009;1;1;85;V;46;V;30;V;28;V;12;V;7;V;23;V;20;V;25;V;17;V;12;V;11;V;12;V;18;V;7;V;9;V;13;V;32;V;28;V;99;V;160;V;116;V;134;V;63;V
28;123;2;8;28123002_8_8;2009;1;1;66;V;48;V;39;V;35;V;24;V;16;V;26;V;25;V;29;V;18;V;14;V;9;V;11;V;16;V;6;V;8;V;16;V;40;V;44;V;64;V;84;V;79;V;81;V;52;V
28;123;2;10;28123002_10_49;2009;1;1;102;V;162;V;85;V;60;V;49;V;32;V;22;V;30;V;32;V;34;V;32;V;27;V;24;V;26;V;27;V;26;V;33;V;33;V;37;V;47;V;95;V;99;V;73;V;63;V
28;123;2;14;28123002_14_6;2009;1;1;4;V;3;V;2;V;2;V;7;V;10;V;2;V;3;V;4;V;10;V;19;V;26;V;29;V;30;V;35;V;32;V;24;V;10;V;6;V;9;V;5;V;3;V;2;V;2;V
28;13;2;7;28013002_7_8;2009;1;1;6;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;6;V;4;V;4;V;4;V;4;V;3;V;3;V;5;V;11;V;33;V;40;V;7;V;7;V;4;V
28;13;2;8;28013002_8_8;2009;1;1;25;V;15;V;14;V;14;V;14;V;15;V;14;V;10;V;8;V;9;V;14;V;10;V;13;V;15;V;14;V;14;V;16;V;27;V;35;V;37;V;35;V;23;V;21;V;15;V
28;13;2;10;28013002_10_49;2009;1;1;18;V;23;V;15;V;14;V;14;V;15;V;14;V;21;V;4;V;17;V;8;V;18;V;16;V;18;V;16;V;23;V;22;V;29;V;25;V;25;V;36;V;32;V;32;V;25;V
28;13;2;14;28013002_14_6;2009;1;1;10;V;18;V;17;V;19;V;16;V;12;V;10;V;11;V;11;V;11;V;9;V;17;V;18;V;21;V;24;V;26;V;24;V;11;V;1;V;1;V;1;V;2;V;1;V;3;V
28;133;2;7;28133002_7_8;2009;1;1;9;V;12;V;13;V;8;V;6;V;9;V;6;V;7;V;7;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;7;V;12;V;10;V;12;V;16;V;7;V;6;V
28;133;2;8;28133002_8_8;2009;1;1;25;V;29;V;27;V;20;V;13;V;20;V;14;V;14;V;10;V;8;V;8;V;10;V;8;V;10;V;6;V;7;V;11;V;15;V;24;V;21;V;23;V;19;V;10;V;10;V
28;133;2;10;28133002_10_49;2009;1;1;38;V;45;V;34;V;42;V;25;V;33;V;21;V;16;V;19;V;20;V;24;V;30;V;42;V;25;V;25;V;12;V;18;V;26;V;27;V;45;V;39;V;36;V;29;V;21;V
28;133;2;14;28133002_14_6;2009;1;1;16;V;16;V;13;V;18;V;21;V;14;V;16;V;16;V;18;V;19;V;22;V;22;V;29;V;31;V;40;V;41;V;34;V;28;V;19;V;22;V;16;V;15;V;23;V;22;V
28;14;2;7;28014002_7_8;2009;1;1;7;V;11;V;14;V;10;V;12;V;4;V;3;V;16;V;8;V;5;V;5;V;3;V;3;V;3;V;1;V;1;V;1;V;2;V;3;V;6;V;7;V;6;V;3;V;8;V
28;14;2;8;28014002_8_8;2009;1;1;39;V;42;V;40;V;37;V;37;V;26;V;27;V;32;V;27;V;28;V;25;V;18;V;16;V;14;V;7;V;5;V;8;V;27;V;35;V;39;V;41;V;42;V;40;V;41;V
28;14;2;10;28014002_10_49;2009;1;1;41;V;49;V;45;V;36;V;37;V;35;V;23;V;19;V;23;V;29;V;27;V;23;V;21;V;26;V;22;V;20;V;19;V;17;V;24;V;25;V;24;V;28;V;25;V;20;V
28;14;2;14;28014002_14_6;2009;1;1;3;V;2;V;2;V;2;V;2;V;8;V;4;V;2;V;3;V;10;V;12;V;18;V;24;V;29;V;36;V;44;V;43;V;27;V;12;V;6;V;6;V;4;V;6;V;2;V
28;148;4;7;28148004_7_8;2009;1;1;28;V;30;V;38;V;23;V;32;V;24;V;11;V;11;V;29;V;25;V;15;V;11;V;7;V;7;V;7;V;7;V;8;V;8;V;9;V;15;V;43;V;27;V;15;V;14;V
28;148;4;8;28148004_8_8;2009;1;1;46;V;45;V;44;V;37;V;38;V;35;V;30;V;31;V;30;V;29;V;26;V;21;V;11;V;13;V;13;V;23;V;32;V;32;V;37;V;42;V;47;V;43;V;43;V;39;V
28;148;4;9;28148004_9_49;2009;1;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;148;4;10;28148004_10_49;2009;1;1;83;V;64;V;51;V;56;V;49;V;45;V;31;V;29;V;21;V;29;V;28;V;38;V;19;V;14;V;26;V;25;V;43;V;40;V;31;V;37;V;43;V;48;V;48;V;33;V
28;148;4;14;28148004_14_6;2009;1;1;5;V;5;V;5;V;5;V;5;V;4;V;6;V;5;V;6;V;10;V;17;V;28;V;42;V;44;V;46;V;38;V;27;V;22;V;14;V;6;V;5;V;7;V;5;V;5;V
28;16;1;1;28016001_1_38;2009;1;1;3;V;2;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;3;V;3;V;1;V;3;V;3;V;3;V;4;V;3;V;3;V;2;V;3;V;2;V;4;V;4;V
28;16;1;6;28016001_6_48;2009;1;1;0.5;V;0.5;V;0.5;V;0.5;V;0.6;V;0.6;V;0.6;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.6;V;0.5;V;0.5;V;0.5;V;0.6;V;0.5;V;0.5;V;0.6;V;0.6;V;0.5;V;0.5;V
28;16;1;7;28016001_7_8;2009;1;1;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V
28;16;1;8;28016001_8_8;2009;1;1;5;V;7;V;7;V;7;V;7;V;6;V;7;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;7;V;7;V;8;V;12;V;12;V;13;V;12;V;11;V;10;V;8;V
28;16;1;9;28016001_9_49;2009;1;1;9;V;6;V;9;V;11;V;11;V;10;V;7;V;6;V;2;V;3;V;10;V;9;V;8;V;11;V;10;V;11;V;12;V;11;V;18;V;12;V;10;V;9;V;11;V;13;V
28;16;1;10;28016001_10_49;2009;1;1;17;V;18;V;18;V;25;V;32;V;23;V;24;V;30;V;16;V;22;V;19;V;27;V;21;V;24;V;30;V;28;V;28;V;27;V;26;V;21;V;28;V;28;V;27;V;24;V
28;16;1;14;28016001_14_6;2009;1;1;43;V;43;V;44;V;43;V;36;V;30;V;32;V;40;V;39;V;38;V;36;V;39;V;40;V;43;V;46;V;44;V;40;V;35;V;35;V;33;V;32;V;31;V;29;V;37;V
