PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;102;1;1;28102001_1_38;2016;4;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;6;28102001_6_48;2016;4;1;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.1;V;0.2;V;0.2;V;0.2;V;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V
28;102;1;7;28102001_7_8;2016;4;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2016;4;1;3;V;3;V;5;V;5;V;5;V;4;V;7;V;8;V;6;V;6;V;4;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;7;V;6;V;5;V
28;102;1;10;28102001_10_49;2016;4;1;2;V;2;V;3;V;4;V;2;V;4;V;6;V;3;V;5;V;4;V;4;V;7;V;5;V;3;V;3;V;4;V;3;V;3;V;3;V;2;V;8;V;7;V;13;V;10;V
28;102;1;12;28102001_12_8;2016;4;1;5;V;5;V;7;V;7;V;7;V;6;V;9;V;10;V;8;V;8;V;6;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;6;V;9;V;8;V;7;V
28;102;1;14;28102001_14_6;2016;4;1;83;V;82;V;76;V;72;V;76;V;76;V;74;V;76;V;80;V;81;V;87;V;91;V;94;V;95;V;94;V;97;V;99;V;99;V;99;V;96;V;91;V;86;V;87;V;84;V
28;123;2;7;28123002_7_8;2016;4;1;1;V;1;V;1;V;1;V;4;V;15;V;28;V;;N;11;V;8;V;8;V;7;V;11;V;10;V;11;V;9;V;11;V;11;V;18;V;15;V;13;V;6;V;4;V;4;V
28;123;2;8;28123002_8_8;2016;4;1;8;V;9;V;8;V;15;V;26;V;50;V;65;V;;N;22;V;16;V;14;V;15;V;20;V;20;V;22;V;18;V;23;V;29;V;50;V;49;V;58;V;28;V;25;V;33;V
28;123;2;10;28123002_10_49;2016;4;1;3;V;6;V;8;V;7;V;8;V;8;V;9;V;;N;9;V;9;V;12;V;12;V;12;V;10;V;10;V;12;V;6;V;3;V;7;V;10;V;17;V;17;V;10;V;16;V
28;123;2;12;28123002_12_8;2016;4;1;10;V;11;V;10;V;17;V;32;V;73;V;108;V;;N;39;V;28;V;26;V;26;V;37;V;35;V;39;V;32;V;40;V;46;V;78;V;72;V;78;V;37;V;31;V;39;V
28;123;2;14;28123002_14_8;2016;4;1;81;V;79;V;82;V;77;V;63;V;43;V;33;V;;N;;N;72;V;76;V;80;V;80;V;84;V;83;V;87;V;85;V;80;V;59;V;55;V;42;V;65;V;61;V;43;V
28;123;2;14;28123002_14_6;2016;4;1;79;V;77;V;80;V;74;V;61;V;41;V;33;V;;N;;N;76;V;79;V;82;V;80;V;83;V;82;V;85;V;82;V;78;V;57;V;54;V;41;V;64;V;60;V;43;V
28;13;2;7;28013002_7_8;2016;4;1;1;V;1;V;1;V;1;V;1;V;5;V;8;V;14;V;7;V;7;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V
28;13;2;8;28013002_8_8;2016;4;1;6;V;7;V;7;V;8;V;17;V;41;V;35;V;32;V;19;V;20;V;8;V;7;V;7;V;5;V;5;V;6;V;6;V;8;V;20;V;28;V;27;V;12;V;20;V;25;V
28;13;2;10;28013002_10_49;2016;4;1;3;V;2;V;2;V;4;V;1;V;1;V;4;V;4;V;6;V;10;V;11;V;7;V;4;V;5;V;7;V;5;V;5;V;9;V;9;V;12;V;6;V;13;V;4;V;5;V
28;13;2;12;28013002_12_8;2016;4;1;8;V;9;V;9;V;10;V;19;V;49;V;47;V;53;V;30;V;31;V;11;V;10;V;10;V;7;V;7;V;8;V;8;V;10;V;22;V;30;V;30;V;14;V;22;V;27;V
28;13;2;14;28013002_14_6;2016;4;1;71;V;70;V;69;V;70;V;50;V;22;V;26;V;33;V;53;V;58;V;81;V;84;V;88;V;92;V;94;V;93;V;93;V;91;V;74;V;61;V;55;V;71;V;54;V;39;V
28;133;2;7;28133002_7_8;2016;4;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;133;2;8;28133002_8_8;2016;4;1;2;V;2;V;2;V;2;V;2;V;2;V;4;V;4;V;2;V;4;V;2;V;3;V;3;V;2;V;2;V;2;V;4;V;5;V;10;V;9;V;6;V;7;V;5;V;4;V
28;133;2;12;28133002_12_8;2016;4;1;4;V;4;V;4;V;4;V;4;V;4;V;6;V;6;V;4;V;7;V;4;V;5;V;5;V;4;V;4;V;4;V;6;V;7;V;12;V;11;V;8;V;9;V;7;V;6;V
28;133;2;14;28133002_14_6;2016;4;1;68;V;69;V;72;V;74;V;76;V;76;V;75;V;77;V;78;V;78;V;77;V;79;V;80;V;82;V;83;V;85;V;86;V;88;V;82;V;78;V;75;V;72;V;72;V;72;V
28;14;2;7;28014002_7_8;2016;4;1;1;V;1;V;1;V;1;V;1;V;5;V;12;V;9;V;5;V;2;V;2;V;2;V;2;V;3;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;14;2;8;28014002_8_8;2016;4;1;5;V;7;V;7;V;6;V;14;V;39;V;64;V;40;V;20;V;11;V;9;V;10;V;9;V;10;V;8;V;8;V;9;V;11;V;14;V;27;V;23;V;22;V;25;V;30;V
28;14;2;10;28014002_10_49;2016;4;1;6;V;3;V;5;V;9;V;7;V;2;V;3;V;8;V;10;V;13;V;23;V;19;V;17;V;11;V;13;V;14;V;13;V;12;V;16;V;13;V;12;V;13;V;11;V;9;V
28;14;2;12;28014002_12_8;2016;4;1;7;V;9;V;9;V;8;V;16;V;47;V;82;V;54;V;28;V;14;V;12;V;13;V;12;V;15;V;10;V;10;V;11;V;13;V;16;V;29;V;25;V;24;V;27;V;32;V
28;14;2;14;28014002_14_6;2016;4;1;70;V;70;V;70;V;73;V;65;V;41;V;24;V;47;V;65;V;77;V;80;V;81;V;84;V;86;V;87;V;88;V;87;V;87;V;80;V;62;V;64;V;59;V;50;V;31;V
28;148;4;7;28148004_7_8;2016;4;1;1;V;1;V;1;V;1;V;1;V;3;V;18;V;8;V;3;V;2;V;2;V;2;V;1;V;1;V;2;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;2;V;4;V
