PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;102;1;1;28102001_1_38;2016;6;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;2;V;1;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V
28;102;1;6;28102001_6_48;2016;6;1;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.1;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.2;V
28;102;1;7;28102001_7_8;2016;6;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2016;6;1;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;4;V;3;V;6;V;9;V;15;V;15;V;9;V;4;V;4;V;3;V;3;V;3;V
28;102;1;10;28102001_10_49;2016;6;1;2;V;6;V;6;V;10;V;8;V;10;V;10;V;12;V;12;V;16;V;7;V;4;V;7;V;7;V;8;V;5;V;8;V;11;V;8;V;3;V;3;V;5;V;6;V;4;V
28;102;1;12;28102001_12_8;2016;6;1;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;5;V;6;V;5;V;8;V;11;V;18;V;17;V;11;V;6;V;6;V;5;V;5;V;5;V
28;102;1;14;28102001_14_6;2016;6;1;99;V;98;V;93;V;90;V;93;V;93;V;95;V;92;V;103;V;106;V;108;V;112;V;117;V;124;V;128;V;127;V;123;V;128;V;130;V;112;V;111;V;112;V;110;V;106;V
28;123;2;7;28123002_7_8;2016;6;1;1;V;1;V;1;V;1;V;3;V;12;V;26;V;19;V;7;V;9;V;9;V;6;V;8;V;6;V;6;V;6;V;6;V;9;V;11;V;11;V;6;V;2;V;2;V;1;V
28;123;2;8;28123002_8_8;2016;6;1;16;V;11;V;14;V;22;V;27;V;41;V;51;V;39;V;20;V;26;V;28;V;21;V;26;V;25;V;30;V;32;V;30;V;38;V;38;V;47;V;43;V;24;V;20;V;17;V
28;123;2;10;28123002_10_49;2016;6;1;17;V;24;V;14;V;22;V;13;V;13;V;14;V;26;V;22;V;21;V;12;V;19;V;15;V;13;V;12;V;18;V;21;V;18;V;22;V;24;V;16;V;11;V;18;V;16;V
28;123;2;12;28123002_12_8;2016;6;1;18;V;13;V;16;V;24;V;32;V;59;V;91;V;68;V;31;V;40;V;42;V;30;V;38;V;34;V;39;V;41;V;39;V;52;V;55;V;64;V;52;V;27;V;23;V;19;V
28;123;2;14;28123002_14_6;2016;6;1;72;V;70;V;62;V;49;V;45;V;40;V;34;V;55;V;77;V;81;V;84;V;94;V;93;V;101;V;105;V;109;V;118;V;111;V;91;V;74;V;75;V;86;V;82;V;73;V
28;123;2;14;28123002_14_8;2016;6;1;72;V;71;V;63;V;50;V;46;V;41;V;34;V;55;V;78;V;83;V;86;V;97;V;97;V;105;V;109;V;114;V;124;V;116;V;95;V;77;V;79;V;90;V;85;V;76;V
28;13;2;7;28013002_7_8;2016;6;1;1;V;1;V;1;V;1;V;1;V;2;V;3;V;4;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;13;2;8;28013002_8_8;2016;6;1;9;V;11;V;11;V;6;V;7;V;16;V;16;V;16;V;14;V;6;V;6;V;6;V;6;V;4;V;6;V;5;V;6;V;7;V;9;V;14;V;12;V;9;V;13;V;10;V
28;13;2;10;28013002_10_49;2016;6;1;12;V;8;V;8;V;4;V;2;V;7;V;8;V;12;V;17;V;13;V;11;V;12;V;10;V;14;V;5;V;6;V;9;V;9;V;18;V;9;V;14;V;10;V;8;V;6;V
28;13;2;12;28013002_12_8;2016;6;1;11;V;13;V;13;V;8;V;9;V;19;V;21;V;22;V;17;V;8;V;8;V;8;V;8;V;6;V;8;V;7;V;8;V;9;V;11;V;16;V;14;V;11;V;15;V;12;V
28;13;2;14;28013002_14_6;2016;6;1;72;V;60;V;56;V;53;V;45;V;33;V;39;V;58;V;71;V;90;V;99;V;106;V;114;V;123;V;132;V;128;V;121;V;115;V;110;V;97;V;91;V;93;V;81;V;70;V
28;133;2;7;28133002_7_8;2016;6;1;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;133;2;8;28133002_8_8;2016;6;1;2;V;2;V;2;V;2;V;5;V;6;V;6;V;5;V;4;V;5;V;3;V;3;V;3;V;2;V;2;V;3;V;4;V;4;V;6;V;12;V;9;V;4;V;3;V;3;V
28;133;2;12;28133002_12_8;2016;6;1;4;V;4;V;4;V;4;V;7;V;8;V;9;V;7;V;6;V;7;V;5;V;5;V;5;V;4;V;4;V;5;V;6;V;6;V;8;V;14;V;11;V;6;V;5;V;5;V
28;133;2;14;28133002_14_6;2016;6;1;85;V;83;V;80;V;78;V;69;V;68;V;72;V;71;V;88;V;90;V;94;V;101;V;106;V;109;V;112;V;114;V;113;V;113;V;110;V;101;V;96;V;106;V;103;V;101;V
28;14;2;7;28014002_7_8;2016;6;1;1;V;2;V;1;V;1;V;2;V;9;V;19;V;18;V;13;V;4;V;3;V;3;V;2;V;2;V;3;V;4;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V
28;14;2;8;28014002_8_8;2016;6;1;18;V;21;V;20;V;19;V;26;V;50;V;53;V;46;V;38;V;19;V;15;V;16;V;14;V;13;V;21;V;28;V;24;V;24;V;15;V;12;V;19;V;46;V;39;V;27;V
28;14;2;10;28014002_10_49;2016;6;1;5;V;15;V;25;V;8;V;6;V;7;V;20;V;34;V;36;V;43;V;14;V;9;V;8;V;6;V;9;V;13;V;4;V;17;V;10;V;10;V;9;V;9;V;9;V;8;V
28;14;2;12;28014002_12_8;2016;6;1;20;V;24;V;22;V;21;V;29;V;64;V;82;V;74;V;58;V;25;V;20;V;21;V;17;V;16;V;26;V;34;V;27;V;27;V;17;V;14;V;21;V;48;V;41;V;29;V
28;14;2;14;28014002_14_6;2016;6;1;56;V;52;V;50;V;51;V;44;V;22;V;27;V;35;V;55;V;83;V;94;V;98;V;103;V;111;V;108;V;109;V;117;V;120;V;112;V;97;V;88;V;40;V;38;V;48;V
28;148;4;7;28148004_7_8;2016;6;1;1;V;1;V;1;V;1;V;1;V;2;V;9;V;10;V;11;V;3;V;3;V;4;V;2;V;2;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;148;4;8;28148004_8_8;2016;6;1;8;V;7;V;14;V;27;V;18;V;26;V;43;V;41;V;45;V;20;V;17;V;18;V;16;V;22;V;28;V;25;V;11;V;9;V;11;V;16;V;23;V;21;V;12;V;11;V
28;148;4;9;28148004_9_49;2016;6;1;7;V;10;V;15;V;11;V;10;V;12;V;14;V;13;V;15;V;15;V;10;V;9;V;11;V;7;V;10;V;10;V;7;V;7;V;1;V;1;V;6;V;4;V;5;V;9;V
